itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
456610,6,TIGER 미국달러SOFR금리액티브(합성),56850,5,-210,-0.37,56882.0,-2.653,8124,462,4936
447770,7,TIGER 테슬라채권혼합Fn,13900,2,150,1.09,13825.0,-0.2178,324443,4506,4921
438330,6,TIGER 우량회사채액티브,117460,2,85,0.07,117503.0,1.7211,165112,19388,4722
474220,4,TIGER 미국테크TOP10타겟커버드콜,12395,2,15,0.12,12404.0,-10.0422,104673,1299,4716
487230,4,KODEX 미국AI전력핵심인프라,13635,2,520,3.96,13111.0,1.4778,1506129,20445,4704
473290,6,KODEX 26-12 회사채(AA-이상)액티브,10790,2,10,0.09,10786.0,1.0782,11100,119,4597
139260,2,TIGER 200 IT,25425,5,-35,-0.14,25453.0,-10.7294,6633,169,4587
148070,6,KIWOOM 국고채10년,116735,2,45,0.04,116696.0,1.4431,10038,1171,4485
385560,6,RISE KIS국고채30년Enhanced,83190,2,10,0.01,83093.0,1.3611,28576,2375,4471
0043B0,6,TIGER 머니마켓액티브,100320,2,10,0.01,100323.0,,14922,1496,4454
390390,4,KODEX 미국반도체,22580,5,-270,-1.18,22620.0,-9.8086,128168,2901,4448
226490,1,KODEX 코스피,26385,2,35,0.13,26407.0,-1.2665,29279,773,4419
453810,4,KODEX 인도Nifty50,13600,2,60,0.44,13669.0,4.742,102547,1387,4413
456600,4,TIMEFOLIO 글로벌AI인공지능액티브,25055,2,305,1.23,24960.0,-9.6386,237734,5976,4330
498400,2,KODEX 200타겟위클리커버드콜,9570,2,15,0.16,9580.0,-0.5931,575550,5512,4287
091180,2,KODEX 자동차,16550,5,-225,-1.34,16556.0,-5.8748,162352,2694,4245
105190,1,ACE 200,34790,2,70,0.2,34837.0,-0.9189,12869,448,4175
449190,4,KODEX 미국나스닥100(H),16385,5,-50,-0.3,16439.0,-4.6473,189574,3114,4154
472870,6,RISE 미국30년국채엔화노출(합성 H),8215,2,20,0.24,8208.0,-4.8973,703130,5774,4071
448290,4,TIGER 미국S&P500(H),13885,5,-55,-0.39,13926.0,-5.015,101153,1408,4061
454780,6,KIWOOM 종합채권(AA-이상)액티브,109350,5,-70,-0.06,109394.0,1.3429,30,3,4012
471230,6,KODEX 국고채10년액티브,114480,3,0,0.0,114427.0,1.4219,17438,1999,3982
441640,4,KODEX 미국배당커버드콜액티브,11145,5,-55,-0.49,11129.0,-5.6127,402261,4484,3878
483280,4,KODEX 미국AI테크TOP10타겟커버드콜,10020,2,15,0.15,10038.0,-8.4881,180926,1819,3848
438080,7,ACE 미국S&P500채권혼합액티브,12480,5,-55,-0.44,12474.0,-3.9464,165569,2070,3694
455030,6,KODEX 미국달러SOFR금리액티브(합성),11770,5,-35,-0.3,11774.0,-2.7195,30179,355,3656
069660,1,KIWOOM 200,34560,2,25,0.07,34619.0,-0.7245,27192,941,3646
462010,2,TIGER 2차전지소재Fn,2955,5,-105,-3.43,2955.0,-31.5284,2658984,7923,3642
441680,7,TIGER 미국나스닥100커버드콜(합성),9730,5,-30,-0.31,9735.0,-14.6182,150491,1469,3634
499660,7,TIGER CD금리플러스액티브(합성),1002440,2,80,0.01,1002439.0,0.6963,6362,6377,3634
293180,1,HANARO 200,34725,2,45,0.13,34773.0,-0.7896,3199,111,3559
475720,3,RISE 200위클리커버드콜,8275,2,15,0.18,8273.0,0.5845,585838,4850,3558
251350,4,KODEX 선진국MSCI World,30130,5,-245,-0.81,30149.0,-5.1848,14784,447,3540
451000,6,PLUS 종합채권(AA-이상)액티브,115885,5,-35,-0.03,115880.0,1.3242,10,1,3510
466940,2,TIGER 은행고배당플러스TOP10,15595,2,220,1.43,15608.0,8.7725,449979,6998,3462
196230,6,RISE 단기통안채,115185,3,0,0.0,115191.0,0.7214,3096,356,3344
091170,2,KODEX 은행,9535,2,95,1.01,9556.0,9.9592,462630,4409,3318
497570,4,TIGER 미국필라델피아AI반도체나스닥,9995,5,-65,-0.65,10023.0,-8.5621,284004,2849,3273
0007F0,6,KODEX 27-12 회사채(AA-이상)액티브,10195,2,10,0.1,10192.0,1.3432,19673,200,3252
446770,4,ACE 글로벌반도체TOP4 Plus SOLACTIVE,25250,2,30,0.12,25199.0,-6.4402,28602,723,3232
439860,6,KODEX ESG종합채권(A-이상)액티브,115410,5,-195,-0.17,115522.0,1.3101,1938,224,3220
480260,6,TIGER 27-04회사채(A+이상)액티브,53260,2,20,0.04,53258.0,1.3419,16634,885,3208
489250,4,KODEX 미국배당다우존스,9750,5,-65,-0.66,9715.0,-10.6997,560903,5472,3188
476450,6,KIWOOM 머니마켓액티브,52340,2,5,0.01,52336.0,0.7993,521,27,3180
481180,4,SOL 미국AI소프트웨어,13350,2,5,0.04,13413.0,-4.7671,193764,2599,3131
472160,4,TIGER 미국테크TOP10 INDXX(H),14200,2,20,0.14,14261.0,-6.6492,166845,2374,3096
475080,7,KODEX 테슬라커버드콜채권혼합액티브,8880,2,55,0.62,8873.0,-4.6668,141637,1259,3055
482730,4,TIGER 미국S&P500타겟데일리커버드콜,10165,5,-60,-0.59,10161.0,-7.7583,142255,1449,3034
426030,4,TIMEFOLIO 미국나스닥100액티브,24630,5,-65,-0.26,24692.0,-8.3674,84998,2101,3025
261260,7,KODEX 미국달러선물인버스2X,5700,2,40,0.71,5714.0,6.291,575360,3274,2951
304660,6,KODEX 미국30년국채울트라선물(H),7300,2,65,0.9,7322.0,-4.8653,184782,1347,2927
476800,7,KODEX 한국부동산리츠인프라,4730,2,15,0.32,4724.0,1.1802,372861,1760,2812
491610,6,1Q CD금리액티브(합성),102120,2,15,0.01,102161.0,0.6903,2478,253,2801
461490,7,RISE 글로벌자산배분액티브,13070,5,-45,-0.34,13092.0,-2.0904,60740,795,2790
132030,5,KODEX 골드선물(H),19785,5,-45,-0.23,19811.0,12.2241,134493,2642,2790
479520,6,RISE KOFR금리액티브(합성),103555,2,20,0.02,103558.0,0.6758,3351,347,2789
490490,7,SOL 미국배당미국채혼합50,9635,5,-30,-0.31,9629.0,-6.7895,191148,1843,2746
494670,2,TIGER 조선TOP10,18265,5,-120,-0.65,18261.0,22.6484,643848,11724,2740
487340,6,ACE CD금리&초단기채권액티브,103210,2,10,0.01,103208.0,0.7664,9397,969,2719
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,9060,5,-75,-0.82,9048.0,-9.5814,344223,3128,2682
364980,2,TIGER 2차전지TOP10,6115,5,-195,-3.09,6136.0,-29.513,2594467,15994,2681
302190,6,TIGER 중장기국채,52740,2,15,0.03,52736.0,1.326,7592,400,2595
251340,3,KODEX 코스닥150선물인버스,4015,2,5,0.12,4033.0,12.3249,19698741,79251,2586
437080,6,KODEX 미국종합채권ESG액티브(H),100260,2,300,0.3,100155.0,-0.4522,11332,1135,2578
448300,4,TIGER 미국나스닥100(H),16900,5,-35,-0.21,16944.0,-4.6238,147983,2504,2569
473460,4,KODEX 미국서학개미,17695,2,300,1.72,17728.0,-5.58,117084,2081,2513
455850,2,SOL AI반도체소부장,10055,5,-160,-1.57,10082.0,-17.2272,194930,1973,2509
494890,1,KODEX 200액티브,9985,5,-10,-0.1,10020.0,-0.8531,204,2,2506
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,10140,5,-135,-1.31,10152.0,-11.7648,4222,42,2498
473330,6,SOL 미국30년국채커버드콜(합성),8700,2,40,0.46,8664.0,-8.0094,143692,1251,2493
463290,6,1Q 단기금융채액티브,107440,2,20,0.02,107437.0,0.7975,8474,910,2438
